date,volume,open,close,high,low,symbol
2022-01-03 13:00:00,100,82.31,82.31,82.31,82.31,NBR
2022-01-03 14:00:00,10158,82.5,87.0,87.0,82.5,NBR
2022-01-03 15:00:00,9311,87.0,88.21,88.25,87.0,NBR
2022-01-03 16:00:00,12591,87.8,89.29,89.4,87.745,NBR
2022-01-03 17:00:00,9337,89.6,89.19,89.61,88.6983,NBR
2022-01-03 18:00:00,8699,89.41,88.32,89.98,88.32,NBR
2022-01-03 19:00:00,11514,88.6693,89.94,90.125,88.61,NBR
2022-01-03 20:00:00,40534,90.057,90.97,91.0,89.82,NBR
2022-01-03 21:00:00,524,90.95,90.95,90.95,90.95,NBR
2022-01-04 00:00:00,192,92.5,92.5,92.5,92.5,NBR
2022-01-04 14:00:00,17286,92.74,96.0,96.18,92.74,NBR
2022-01-04 15:00:00,38146,95.91,96.0,97.2803,95.36,NBR
2022-01-04 16:00:00,22717,95.91,96.97,97.05,95.555,NBR
2022-01-04 17:00:00,10573,97.58,97.64,98.0,96.7,NBR
2022-01-04 18:00:00,4568,97.14,96.15,97.34,96.09,NBR
2022-01-04 19:00:00,8564,95.34,97.66,97.685,95.34,NBR
2022-01-04 20:00:00,32737,97.43,97.24,97.78,97.11,NBR
2022-01-04 21:00:00,406,97.52,97.52,97.52,97.52,NBR
2022-01-05 13:00:00,714,97.56,97.5,97.56,97.5,NBR
2022-01-05 14:00:00,18906,98.5,99.885,100.37,97.96,NBR
2022-01-05 15:00:00,14726,98.3,96.845,100.215,95.885,NBR
2022-01-05 16:00:00,5296,96.81,96.08,96.81,95.6718,NBR
2022-01-05 17:00:00,6435,96.05,96.365,96.81,95.7818,NBR
2022-01-05 18:00:00,8304,96.12,95.9696,96.34,95.58,NBR
2022-01-05 19:00:00,13789,96.05,94.46,96.48,94.22,NBR
2022-01-05 20:00:00,20544,94.47,92.27,94.47,92.15,NBR
2022-01-05 21:00:00,234,92.21,92.21,92.21,92.21,NBR
2022-01-06 14:00:00,6314,96.0,94.51,97.0,93.81,NBR
2022-01-06 15:00:00,5014,94.2,95.06,95.37,93.52,NBR
2022-01-06 16:00:00,4181,96.2683,97.36,97.665,96.0,NBR
2022-01-06 17:00:00,2780,97.0,97.2082,97.47,96.5277,NBR
2022-01-06 18:00:00,3128,96.65,97.32,97.33,95.92,NBR
2022-01-06 19:00:00,7993,96.59,97.58,97.78,96.5,NBR
2022-01-06 20:00:00,20444,97.68,97.39,97.8699,96.6001,NBR
2022-01-06 21:00:00,871,97.37,97.37,97.37,97.37,NBR
2022-01-07 14:00:00,2922,97.37,97.24,99.1799,96.0825,NBR
2022-01-07 15:00:00,16838,97.58,96.0,98.2,96.0,NBR
2022-01-07 16:00:00,9199,95.4,96.91,96.91,95.1,NBR
2022-01-07 17:00:00,2741,97.3,95.68,97.3316,95.58,NBR
2022-01-07 18:00:00,4694,96.03,95.0,96.16,94.715,NBR
2022-01-07 19:00:00,6256,95.5,96.125,96.125,94.81,NBR
2022-01-07 20:00:00,16294,96.08,94.94,96.41,94.75,NBR
2022-01-07 21:00:00,1107,94.76,94.76,94.76,94.76,NBR
2022-01-07 22:00:00,3820,94.76,94.76,94.76,94.76,NBR
2022-01-10 14:00:00,4442,94.05,93.44,95.02,92.95,NBR
2022-01-10 15:00:00,12456,93.0,94.22,94.41,92.01,NBR
2022-01-10 16:00:00,14881,94.35,97.4,97.43,94.35,NBR
2022-01-10 17:00:00,9558,97.605,96.25,97.8,95.37,NBR
2022-01-10 18:00:00,7315,96.275,96.58,96.76,95.88,NBR
2022-01-10 19:00:00,12109,96.96,96.6,97.69,96.6,NBR
2022-01-10 20:00:00,29859,96.82,97.1,97.7,96.115,NBR
2022-01-10 21:00:00,1055,97.37,97.37,97.37,97.37,NBR
2022-01-11 12:00:00,254,98.0,98.0,98.0,98.0,NBR
2022-01-11 14:00:00,4910,99.28,97.62,99.28,97.46,NBR
2022-01-11 15:00:00,7159,97.69,99.18,99.4302,97.69,NBR
2022-01-11 16:00:00,17848,99.21,101.2001,102.73,99.21,NBR
2022-01-11 17:00:00,21116,102.85,105.7747,105.7747,102.39,NBR
2022-01-11 18:00:00,13644,105.48,105.58,105.66,104.24,NBR
2022-01-11 19:00:00,10253,105.42,105.17,105.775,104.73,NBR
2022-01-11 20:00:00,54856,105.21,105.6,106.145,104.84,NBR
2022-01-11 21:00:00,5177,105.75,105.75,105.75,105.75,NBR
2022-01-12 14:00:00,12671,106.0,105.95,106.3579,103.61,NBR
2022-01-12 15:00:00,16574,106.0,101.5078,106.17,101.5078,NBR
2022-01-12 16:00:00,10508,102.47,102.9707,104.13,101.72,NBR
2022-01-12 17:00:00,7668,102.99,104.92,105.14,102.99,NBR
2022-01-12 18:00:00,6241,104.4,104.3,105.01,104.12,NBR
2022-01-12 19:00:00,14802,104.29,102.79,104.38,102.685,NBR
2022-01-12 20:00:00,79527,102.65,100.59,102.65,100.49,NBR
2022-01-12 21:00:00,6001,100.56,100.56,100.56,100.56,NBR
2022-01-13 14:00:00,7039,100.5,102.68,103.2899,100.13,NBR
2022-01-13 15:00:00,14012,103.27,100.43,104.3999,100.22,NBR
2022-01-13 16:00:00,12403,101.94,102.94,104.4,100.73,NBR
2022-01-13 17:00:00,13242,103.04,101.93,103.66,101.55,NBR
2022-01-13 18:00:00,13408,101.93,102.17,102.19,100.8,NBR
2022-01-13 19:00:00,20196,102.53,103.75,103.99,102.3,NBR
2022-01-13 20:00:00,42258,103.75,102.32,104.18,101.61,NBR
2022-01-13 21:00:00,3568,102.32,102.3,102.32,102.3,NBR
