date,volume,open,close,high,low,symbol
2021-11-01 11:00:00,257,174.74,174.74,174.74,174.74,AXP
2021-11-01 11:55:00,250,174.65,174.65,174.65,174.65,AXP
2021-11-01 12:00:00,294,174.0,174.7,174.7,174.0,AXP
2021-11-01 13:05:00,562,174.83,174.83,174.83,174.83,AXP
2021-11-01 13:10:00,437,174.81,174.82,174.82,174.81,AXP
2021-11-01 13:30:00,57902,174.58,175.25,175.29,174.58,AXP
2021-11-01 13:35:00,40874,175.25,175.83,176.07,174.68,AXP
2021-11-01 13:40:00,37923,175.97,175.5525,175.97,175.36,AXP
2021-11-01 13:45:00,34252,175.58,175.5,175.92,175.3129,AXP
2021-11-01 13:50:00,38110,175.455,175.31,175.59,175.2892,AXP
2021-11-01 13:55:00,32445,175.405,175.35,175.46,175.0,AXP
2021-11-01 14:00:00,41912,175.18,174.51,175.235,174.15,AXP
2021-11-01 14:05:00,30308,174.56,175.42,175.42,174.55,AXP
2021-11-01 14:10:00,23770,175.34,175.195,175.41,174.9192,AXP
2021-11-01 14:15:00,18311,175.15,174.9101,175.185,174.74,AXP
2021-11-01 14:20:00,32003,174.99,174.605,175.25,174.53,AXP
2021-11-01 14:25:00,50222,174.58,174.46,174.79,174.16,AXP
2021-11-01 14:30:00,29696,174.44,174.515,174.59,174.34,AXP
2021-11-01 14:35:00,22386,174.4,174.445,174.63,174.18,AXP
2021-11-01 14:40:00,24640,174.46,174.495,174.531,174.25,AXP
2021-11-01 14:45:00,21832,174.45,174.29,174.52,174.24,AXP
2021-11-01 14:50:00,25876,174.26,173.7,174.26,173.7,AXP
2021-11-01 14:55:00,25319,173.78,174.19,174.19,173.75,AXP
2021-11-01 15:00:00,26268,174.37,174.13,174.37,174.11,AXP
2021-11-01 15:05:00,14844,174.11,173.75,174.12,173.72,AXP
2021-11-01 15:10:00,26817,173.76,173.64,173.86,173.63,AXP
2021-11-01 15:15:00,17783,173.63,174.05,174.09,173.52,AXP
2021-11-01 15:20:00,13664,174.04,174.145,174.2,174.03,AXP
2021-11-01 15:25:00,18462,174.125,173.94,174.18,173.91,AXP
2021-11-01 15:30:00,13293,173.95,174.0,174.105,173.95,AXP
2021-11-01 15:35:00,12764,173.98,173.86,174.0399,173.82,AXP
2021-11-01 15:40:00,15228,173.81,174.125,174.1374,173.81,AXP
2021-11-01 15:45:00,14611,174.04,173.58,174.04,173.53,AXP
2021-11-01 15:50:00,17463,173.6346,173.405,173.6346,173.34,AXP
2021-11-01 15:55:00,14920,173.38,173.64,173.7,173.3773,AXP
2021-11-01 16:00:00,15094,173.65,174.07,174.07,173.65,AXP
2021-11-01 16:05:00,22278,174.07,174.07,174.175,174.03,AXP
2021-11-01 16:10:00,9018,174.06,174.08,174.18,174.06,AXP
2021-11-01 16:15:00,11606,174.075,174.08,174.08,173.91,AXP
2021-11-01 16:20:00,11248,174.07,173.78,174.07,173.75,AXP
2021-11-01 16:25:00,11429,173.8,173.76,173.8699,173.73,AXP
2021-11-01 16:30:00,15890,173.73,173.83,173.88,173.65,AXP
2021-11-01 16:35:00,20358,173.83,174.05,174.09,173.72,AXP
2021-11-01 16:40:00,9419,174.06,174.08,174.17,174.0,AXP
2021-11-01 16:45:00,10438,174.105,174.085,174.13,174.05,AXP
2021-11-01 16:50:00,9716,174.09,174.12,174.13,174.03,AXP
2021-11-01 16:55:00,13378,174.13,174.1,174.2199,174.06,AXP
2021-11-01 17:00:00,24038,174.14,174.36,174.4308,174.12,AXP
2021-11-01 17:05:00,12244,174.35,174.5,174.52,174.35,AXP
2021-11-01 17:10:00,31229,174.48,174.66,174.6611,174.48,AXP
2021-11-01 17:15:00,18113,174.62,174.6,174.75,174.6,AXP
2021-11-01 17:20:00,14517,174.59,174.46,174.605,174.38,AXP
2021-11-01 17:25:00,19117,174.4727,174.56,174.6584,174.39,AXP
