date,volume,open,close,high,low,symbol
2021-06-14 11:00:00,665.0,160.07,160.07,160.07,160.07,COF
2021-06-14 13:15:00,1486.0,160.0,160.22,160.22,160.0,COF
2021-06-14 13:30:00,129042.0,160.4,159.93,160.8,159.51,COF
2021-06-14 13:45:00,87198.0,159.915,159.64,160.33,159.48,COF
2021-06-14 14:00:00,69976.0,159.665,159.72,159.95,159.49,COF
2021-06-14 14:15:00,64022.0,159.7,159.9,160.12,159.69,COF
2021-06-14 14:30:00,51018.0,159.88,159.55,159.88,159.42,COF
2021-06-14 14:45:00,95807.0,159.52,159.645,159.76,159.36,COF
2021-06-14 15:00:00,167566.0,159.58,158.85,159.75,158.84,COF
2021-06-14 15:15:00,162230.0,158.8,158.64,158.86,158.28,COF
2021-06-14 15:30:00,192934.0,158.67,158.48,158.71,158.19,COF
2021-06-14 15:45:00,76475.0,158.55,158.6443,158.73,158.54,COF
2021-06-14 16:00:00,87359.0,158.6,158.32,158.76,158.21,COF
2021-06-14 16:15:00,91050.0,158.26,158.39,158.435,158.18,COF
2021-06-14 16:30:00,84049.0,158.38,158.26,158.38,158.2,COF
2021-06-14 16:45:00,64459.0,158.26,158.41,158.48,158.26,COF
2021-06-14 17:00:00,49182.0,158.38,158.59,158.59,158.25,COF
2021-06-14 17:15:00,40829.0,158.58,158.755,158.79,158.56,COF
2021-06-14 17:30:00,63195.0,158.76,158.54,158.79,158.45,COF
2021-06-14 17:45:00,143528.0,158.53,157.87,158.57,157.79,COF
2021-06-14 18:00:00,76002.0,157.87,157.615,158.005,157.5474,COF
2021-06-14 18:15:00,137723.0,157.62,157.455,157.63,157.17,COF
2021-06-14 18:30:00,81788.0,157.45,157.65,157.65,157.38,COF
2021-06-14 18:45:00,85371.0,157.64,157.945,157.945,157.6,COF
2021-06-14 19:00:00,137067.0,157.96,157.93,158.05,157.91,COF
2021-06-14 19:15:00,144801.0,157.875,157.895,158.03,157.72,COF
2021-06-14 19:30:00,207670.0,157.885,158.5,158.52,157.885,COF
2021-06-14 19:45:00,488025.0,158.49,158.71,158.72,158.33,COF
2021-06-14 20:00:00,37618.0,158.71,158.71,158.71,158.71,COF
2021-06-15 13:15:00,2362.0,158.71,158.71,158.71,158.71,COF
2021-06-15 13:30:00,266119.0,159.38,160.24,161.58,158.72,COF
2021-06-15 13:45:00,100294.0,160.25,160.725,160.82,160.13,COF
2021-06-15 14:00:00,91987.0,160.74,160.9,161.25,160.74,COF
2021-06-15 14:15:00,82915.0,160.87,161.2,161.43,160.87,COF
2021-06-15 14:30:00,121593.0,161.21,161.2,161.48,160.91,COF
2021-06-15 14:45:00,63782.0,161.21,161.1,161.21,160.84,COF
2021-06-15 15:00:00,119009.0,161.07,161.72,161.81,160.82,COF
2021-06-15 15:15:00,64267.0,161.7,161.655,161.85,161.55,COF
2021-06-15 15:30:00,67836.0,161.67,161.11,161.67,161.01,COF
2021-06-15 15:45:00,55826.0,161.1,160.73,161.11,160.665,COF
2021-06-15 16:00:00,153141.0,160.7,160.9483,161.18,160.685,COF
2021-06-15 16:15:00,72470.0,160.96,161.09,161.14,160.79,COF
2021-06-15 16:30:00,53548.0,161.1,161.09,161.22,161.0,COF
2021-06-15 16:45:00,49397.0,161.12,161.62,161.69,161.09,COF
2021-06-15 17:00:00,206737.0,161.64,161.52,161.73,161.39,COF
2021-06-15 17:15:00,51536.0,161.52,161.63,161.81,161.48,COF
2021-06-15 17:30:00,44123.0,161.64,161.625,161.82,161.56,COF
2021-06-15 17:45:00,74907.0,161.62,162.01,162.125,161.58,COF
2021-06-15 18:00:00,48634.0,162.03,162.16,162.2,162.01,COF
2021-06-15 18:15:00,54132.0,162.19,162.2,162.45,162.18,COF
2021-06-15 18:30:00,49013.0,162.23,162.255,162.36,162.17,COF
2021-06-15 18:45:00,63337.0,162.27,162.61,162.7,162.23,COF
2021-06-15 19:00:00,61571.0,162.62,162.247,162.62,162.2,COF
2021-06-15 19:15:00,63241.0,162.26,162.28,162.49,162.18,COF
2021-06-15 19:30:00,117599.0,162.27,162.165,162.27,161.9404,COF
2021-06-15 19:45:00,337506.0,162.16,162.12,162.33,161.87,COF
2021-06-15 20:00:00,32785.0,162.11,162.11,162.11,162.11,COF
2021-06-15 20:30:00,623.0,161.03,162.11,162.11,161.03,COF
