date,volume,open,close,high,low,symbol
2022-01-03 09:00:00,1026.0,48.7,48.7,48.7,48.7,WFC
2022-01-03 09:15:00,824.0,48.57,48.41,48.57,48.41,WFC
2022-01-03 10:15:00,1000.0,48.59,48.58,48.59,48.58,WFC
2022-01-03 10:45:00,600.0,48.58,48.59,48.59,48.58,WFC
2022-01-03 11:00:00,1119.0,48.59,48.6,48.6,48.59,WFC
2022-01-03 11:45:00,500.0,48.69,48.69,48.69,48.69,WFC
2022-01-03 12:00:00,5168.0,48.7,48.6,48.7,48.55,WFC
2022-01-03 12:15:00,700.0,48.64,48.63,48.65,48.63,WFC
2022-01-03 12:30:00,5934.0,48.63,48.6,48.63,48.6,WFC
2022-01-03 12:45:00,679.0,48.56,48.6,48.6,48.56,WFC
2022-01-03 13:00:00,28958.0,48.6399,48.65,48.71,48.45,WFC
2022-01-03 13:15:00,24253.0,48.57,48.75,48.75,48.57,WFC
2022-01-03 13:30:00,35534.0,48.77,48.87,49.0,48.77,WFC
2022-01-03 13:45:00,19441.0,48.89,48.91,48.98,48.87,WFC
2022-01-03 14:00:00,41486.0,48.91,48.9699,48.97,48.88,WFC
2022-01-03 14:15:00,86095.0,48.95,49.0,49.0,48.71,WFC
2022-01-03 14:30:00,2936243.0,48.93,49.74,49.76,48.915,WFC
2022-01-03 14:45:00,2200799.0,49.745,49.785,49.84,49.35,WFC
2022-01-03 15:00:00,2085937.0,49.79,50.26,50.325,49.79,WFC
2022-01-03 15:15:00,2148860.0,50.25,50.37,50.38,50.19,WFC
2022-01-03 15:30:00,1328432.0,50.38,50.4578,50.47,50.19,WFC
2022-01-03 15:45:00,1012929.0,50.465,50.35,50.5,50.29,WFC
2022-01-03 16:00:00,868071.0,50.355,50.35,50.52,50.32,WFC
2022-01-03 16:15:00,1037984.0,50.35,50.25,50.39,50.155,WFC
2022-01-03 16:30:00,725361.0,50.25,50.36,50.37,50.09,WFC
2022-01-03 16:45:00,686351.0,50.36,50.4,50.435,50.33,WFC
2022-01-03 17:00:00,807368.0,50.39,50.635,50.64,50.37,WFC
2022-01-03 17:15:00,574086.0,50.6345,50.665,50.6692,50.4705,WFC
2022-01-03 17:30:00,706265.0,50.66,50.56,50.665,50.53,WFC
2022-01-03 17:45:00,862550.0,50.565,50.72,50.81,50.53,WFC
2022-01-03 18:00:00,752732.0,50.725,50.61,50.745,50.5838,WFC
2022-01-03 18:15:00,937345.0,50.61,50.7231,50.77,50.6011,WFC
2022-01-03 18:30:00,638667.0,50.7201,50.62,50.76,50.55,WFC
2022-01-03 18:45:00,541881.0,50.615,50.645,50.7,50.5697,WFC
2022-01-03 19:00:00,573410.0,50.645,50.64,50.66,50.57,WFC
2022-01-03 19:15:00,588355.0,50.63,50.56,50.65,50.48,WFC
2022-01-03 19:30:00,631838.0,50.56,50.5901,50.605,50.54,WFC
2022-01-03 19:45:00,728145.0,50.5954,50.57,50.6,50.47,WFC
2022-01-03 20:00:00,494196.0,50.57,50.55,50.64,50.53,WFC
2022-01-03 20:15:00,817194.0,50.56,50.6,50.655,50.54,WFC
2022-01-03 20:30:00,1044833.0,50.6,50.535,50.63,50.5,WFC
2022-01-03 20:45:00,3293382.0,50.53,50.73,50.75,50.53,WFC
2022-01-03 21:00:00,316308.0,50.72,50.7,50.73,50.55,WFC
2022-01-03 21:15:00,4171405.0,50.6999,50.7,50.7,50.6601,WFC
2022-01-03 21:30:00,3104.0,50.7,50.7,50.73,50.7,WFC
2022-01-03 21:45:00,666.0,50.66,50.7,50.7,50.65,WFC
2022-01-03 22:15:00,2250.0,50.65,50.66,50.67,50.65,WFC
2022-01-03 22:30:00,310.0,50.66,50.69,50.69,50.66,WFC
2022-01-03 22:45:00,1389.0,50.6999,50.73,50.73,50.6999,WFC
2022-01-03 23:00:00,3012.0,50.73,50.73,50.73,50.71,WFC
2022-01-03 23:15:00,4909.0,50.73,50.7901,50.8,50.73,WFC
2022-01-03 23:30:00,1650.0,50.79,50.79,50.8,50.79,WFC
2022-01-03 23:45:00,590.0,50.75,50.76,50.77,50.75,WFC
2022-01-04 00:00:00,500.0,50.76,50.7,50.76,50.7,WFC
2022-01-04 00:15:00,565.0,50.68,50.65,50.68,50.65,WFC
2022-01-04 00:30:00,150.0,50.63,50.63,50.63,50.63,WFC
2022-01-04 00:45:00,500.0,50.73,50.72,50.73,50.7,WFC
2022-01-04 09:00:00,6085.0,50.7,50.75,50.75,50.7,WFC
2022-01-04 09:15:00,101.0,50.89,50.89,50.89,50.89,WFC
2022-01-04 09:45:00,455.0,50.9,50.99,50.99,50.9,WFC
2022-01-04 10:00:00,210.0,50.99,51.0,51.0,50.99,WFC
2022-01-04 10:15:00,200.0,51.0,51.0,51.0,51.0,WFC
2022-01-04 10:45:00,300.0,50.98,50.98,50.98,50.98,WFC
2022-01-04 11:00:00,509.0,50.98,50.98,50.98,50.98,WFC
2022-01-04 11:45:00,3020.0,50.98,50.98,50.98,50.98,WFC
2022-01-04 12:00:00,9446.0,50.91,51.04,51.04,50.91,WFC
2022-01-04 12:15:00,4542.0,51.0,51.11,51.15,51.0,WFC
2022-01-04 12:30:00,5717.0,51.11,51.14,51.14,51.05,WFC
2022-01-04 12:45:00,5237.0,51.12,51.18,51.18,51.12,WFC
2022-01-04 13:00:00,20524.0,51.089,51.19,51.2,50.9,WFC
2022-01-04 13:15:00,9040.0,51.1298,51.3792,51.3792,51.12,WFC
2022-01-04 13:30:00,20536.0,51.32,51.36,51.37,51.26,WFC
2022-01-04 13:45:00,18175.0,51.34,51.47,51.48,51.3,WFC
2022-01-04 14:00:00,32478.0,51.42,51.5,51.5,51.3315,WFC
2022-01-04 14:15:00,61742.0,51.51,51.63,51.63,51.43,WFC
2022-01-04 14:30:00,3604630.0,51.58,52.1,52.47,51.52,WFC
2022-01-04 14:45:00,1881097.0,52.0979,52.34,52.56,52.07,WFC
2022-01-04 15:00:00,1382028.0,52.34,52.54,52.59,52.1476,WFC
2022-01-04 15:15:00,1509594.0,52.54,52.71,52.725,52.4236,WFC
2022-01-04 15:30:00,1260710.0,52.7,52.87,52.915,52.695,WFC
2022-01-04 15:45:00,1869704.0,52.865,52.86,53.06,52.77,WFC
2022-01-04 16:00:00,1569433.0,52.85,52.8,52.875,52.565,WFC
2022-01-04 16:15:00,1069502.0,52.8,52.695,52.865,52.63,WFC
2022-01-04 16:30:00,1562052.0,52.69,52.935,53.015,52.67,WFC
2022-01-04 16:45:00,874422.0,52.935,52.94,53.015,52.89,WFC
2022-01-04 17:00:00,1033421.0,52.9336,53.08,53.11,52.91,WFC
2022-01-04 17:15:00,708580.0,53.085,53.13,53.145,53.04,WFC
2022-01-04 17:30:00,1103035.0,53.13,53.0109,53.145,53.01,WFC
2022-01-04 17:45:00,1369345.0,53.0125,52.8,53.02,52.74,WFC
2022-01-04 18:00:00,740841.0,52.79,52.675,52.81,52.6316,WFC
2022-01-04 18:15:00,850649.0,52.675,52.69,52.76,52.67,WFC
2022-01-04 18:30:00,774818.0,52.7,52.76,52.801,52.58,WFC
2022-01-04 18:45:00,696088.0,52.76,52.735,52.84,52.72,WFC
2022-01-04 19:00:00,660995.0,52.735,52.795,52.84,52.73,WFC
2022-01-04 19:15:00,705883.0,52.79,52.67,52.79,52.585,WFC
2022-01-04 19:30:00,636435.0,52.67,52.735,52.765,52.665,WFC
2022-01-04 19:45:00,736353.0,52.735,52.69,52.77,52.685,WFC
2022-01-04 20:00:00,1108493.0,52.7,52.785,52.825,52.675,WFC
2022-01-04 20:15:00,2882857.0,52.79,52.58,52.8,52.42,WFC
2022-01-04 20:30:00,2075403.0,52.58,52.775,52.815,52.53,WFC
2022-01-04 20:45:00,3396828.0,52.775,52.745,52.83,52.7138,WFC
2022-01-04 21:00:00,1697965.0,52.75,52.57,52.84,52.56,WFC
2022-01-04 21:15:00,84835.0,52.72,52.62,52.72,52.5,WFC
2022-01-04 21:30:00,5542.0,52.64,52.56,52.64,52.55,WFC
2022-01-04 21:45:00,2070.0,52.51,52.51,52.51,52.5,WFC
2022-01-04 22:00:00,272.0,52.6,52.6,52.6,52.6,WFC
2022-01-04 22:45:00,643.0,52.59,52.58,52.6,52.57,WFC
2022-01-04 23:00:00,301.0,52.53,52.53,52.53,52.53,WFC
2022-01-04 23:15:00,235.0,52.52,52.52,52.52,52.52,WFC
2022-01-04 23:30:00,891.0,52.58,52.6,52.6,52.58,WFC
