ticker,name,locale,primary_exchange,type,currency_name,phone_number,address,city,state,postal_code,homepage_url,logo_url,icon_url,sic_description,description
AAPL,Apple Inc.,us,XNAS,CS,usd,408-996-1010,ONE APPLE PARK WAY,CUPERTINO,CA,95014,https://www.apple.com,https://api.polygon.io/v1/reference/company-branding/d3d3LmFwcGxlLmNvbQ/images/2022-01-10_logo.svg,https://api.polygon.io/v1/reference/company-branding/d3d3LmFwcGxlLmNvbQ/images/2022-01-10_icon.png,ELECTRONIC COMPUTERS,"Apple designs a wide variety of consumer electronic devices, including smartphones (iPhone), tablets (iPad), PCs (Mac), smartwatches (Apple Watch), AirPods, and TV boxes (Apple TV), among others. The iPhone makes up the majority of Apple's total revenue. In addition, Apple offers its customers a variety of services such as Apple Music, iCloud, Apple Care, Apple TV+, Apple Arcade, Apple Card, and Apple Pay, among others. Apple's products run internally developed software and semiconductors, and the firm is well known for its integration of hardware, software and services. Apple's products are distributed online as well as through company-owned stores and third-party retailers. The company generates roughly 40% of its revenue from the Americas, with the remainder earned internationally."
TSLA,"Tesla, Inc.",us,XNAS,CS,usd,650-681-5000,3500 DEER CREEK RD,PALO ALTO,CA,94304,https://www.tesla.com,https://api.polygon.io/v1/reference/company-branding/d3d3LnRlc2xhLmNvbQ/images/2022-01-10_logo.svg,https://api.polygon.io/v1/reference/company-branding/d3d3LnRlc2xhLmNvbQ/images/2022-01-10_icon.png,MOTOR VEHICLES & PASSENGER CAR BODIES,"Founded in 2003 and based in Palo Alto, California, Tesla is a vertically integrated sustainable energy company that also aims to transition the world to electric mobility by making electric vehicles. The company sells solar panels and solar roofs for energy generation plus batteries for stationary storage for residential and commercial properties including utilities. Tesla has multiple vehicles in its fleet, which include luxury and midsize sedans and crossover SUVs. The company also plans to begin selling more affordable sedans and small SUVs, a light truck, a semi truck, and a sports car. Global deliveries in 2020 were roughly 500,000 units."
NVDA,Nvidia Corp,us,XNAS,CS,usd,408-486-2000,2788 SAN TOMAS EXPRESSWAY,SANTA CLARA,CA,95051,https://www.nvidia.com,https://api.polygon.io/v1/reference/company-branding/d3d3Lm52aWRpYS5jb20/images/2022-01-10_logo.svg,https://api.polygon.io/v1/reference/company-branding/d3d3Lm52aWRpYS5jb20/images/2022-01-10_icon.png,SEMICONDUCTORS & RELATED DEVICES,"Nvidia is the top designer of discrete graphics processing units that enhance the experience on computing platforms. The firm's chips are used in a variety of end markets, including high-end PCs for gaming, data centers, and automotive infotainment systems. In recent years, the firm has broadened its focus from traditional PC graphics applications such as gaming to more complex and favorable opportunities, including artificial intelligence and autonomous driving, which leverage the high-performance capabilities of the firm's graphics processing units."
